,title,links,date,year,doctype,text
0,Canada continues its support of Palestinian refugees,https://www.canada.ca/en/global-affairs/news/2020/12/canada-continues-its-support-of-palestinian-refugees.html,12/21/20,2020, news releases," Providing humanitarian assistance and responding to the needs of Palestinian refugees is part of the path toward peace and prosperity in the Middle East. That is why Canada is committed to meeting the basic needs of the poorest and most vulnerable among this population.The Honourable Karina Gould, Minister of International Development, today announced Canada’s continued support of up to $90 million over 3 years for Palestinian refugees through the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA). This support will help respond to the rising needs of vulnerable Palestinian refugees in UNRWA’s 5 areas of operation (the West Bank, Gaza, Syria, Lebanon and Jordan).This commitment will contribute to meeting the basic education, health and livelihood needs of Palestinian refugees, especially women and children. It will also provide emergency lifesaving assistance to an estimated 465,000 Palestinian refugees in Syria and Lebanon, through UNRWA’s Emergency Appeal for the Syria regional crisis. In addition, it will complement UNRWA’s response to the new and emerging needs created by the COVID19 pandemic.Canada’s funding will also reinforce UNRWA’s ongoing efforts to uphold UN values and humanitarian principles, including neutrality, within the agency and its operations. These efforts are essential to the effective delivery of its work and to Canada’s continued support.Canada exercises enhanced due diligence for all humanitarian and development assistance funding for Palestinians. This work includes ongoing oversight, regular site visits, a systematic screening process and strong antiterrorism provisions in funding agreements."
1,Backgrounder - Canada’s support for Palestinian refugees,https://www.canada.ca/en/global-affairs/news/2020/12/backgrounder---canadas-support-for-palestinian-refugees.html,12/21/20,2020, backgrounders,"Canada has announced funding of up to $90 million over 3 years for the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA).In the West Bank, Gaza, Syria, Lebanon and Jordan, UNRWA’s core programs provide basic education, health, social services and livelihood opportunities and help to protect the rights of Palestinian refugees, in line with the agency’s mandate. By helping to meet the basic needs of Palestinian refugees, UNRWA’s services contribute to stability in the region.In response to the Syria regional crisis, UNRWA focuses on preserving the resilience of vulnerable individuals by providing humanitarian assistance and a protective framework for Palestinian refugees in the form of basic services, such as education, health, water, sanitation and hygiene and livelihood activities.This continued commitment builds on Canada’s previous support for Palestinian refugees. From 2016 though 2019, Canada committed a total of $110 million in support for UNRWA. In addition, as part of new funding to respond to COVID19 announced by the Honourable Karina Gould, Minister of International Development, in April 2020, Canada provided $1.5 million to UNRWA to support the agency’s preparedness and response to COVID19 in the region.Providing basic education, health and social services to Palestinian refugees  up to $75 million over 3 yearsThis funding will help over half a million Palestinian refugee girls and boys receive quality basic education, which is a top priority for UNRWA, given that approximately half of its core budget is spent on education services. Canada’s funding will also help to operate more than 140 primary healthcare clinics and support outreach teams in delivering access to healthcare services, medications and immunizations to approximately 3.5 million individuals. In addition, it will contribute to providing basic shelter and food for the poorest Palestinian refugees.Through this funding, Canada is also continuing its support for UNRWA’s ongoing efforts to promote neutrality in its operations and among its staff, the majority of whom are also Palestinian refugees. This assistance builds on previous Canadian support and demonstrates how Canada and UNRWA are working together to reinforce respect for the humanitarian principles of humanity, neutrality, operational independence and impartiality. This is essential to the effective delivery of the agency’s work and to Canada’s continued support.Humanitarian principles, including neutrality, represent a core commitment and value of UN staff, as well as a key element of UNRWA’s regulatory framework. Canadian funding will help strengthen the agency’s transparency and accountability in this regard. Through the Framework for Cooperation between  and UNRWA, Canada has set out its requirements regarding implementing reform, regular monitoring and reporting, and compliance with Canadian antiterrorism requirements.Emergency appeal for the Syria regional crisis  up to $15 million over 3 yearsCanada’s support will provide humanitarian assistance to address the urgent needs of Palestinian refugees affected by the Syria regional crisis. Canadian assistance will provide food, cash and nonfood items, as well as emergency health assistance, psychosocial and protection services, and highquality and inclusive education for girls and boys. For Palestinian refugees from Syria displaced to Lebanon, Canadian assistance will also help to provide opportunities for sustainable livelihoods.UNRWA’s response to the COVID19 crisisThe COVID19 crisis is worsening preexisting vulnerabilities among Palestinian refugees, and UNRWA is adapting. The agency has adjusted the delivery of its education and health services to protect the communities it serves and to limit the spread of COVID19. UNRWA has managed to maintain its services and prevent outbreaks of COVID19 within densely populated Palestinian refugee camps, although the risk of outbreaks remains a concern. The agency has shifted to telemedicine and home delivery of essential medications and food, distributed hygiene packs and food parcels to those in quarantine, set up health advice hotlines and maintained an educationinemergencies program to support homeschooling and remote learning.UN Office of Internal Oversight Services InvestigationCanadian officials have reviewed the confidential investigation report prepared by the UN Office of Internal Oversight Services regarding allegations of misconduct among former UNRWA senior managers. The report supports the UN's earlier confirmations that no fraud or misappropriation of operational funds occurred. UNRWA’s new senior management has committed to significant management reform initiatives aimed at strengthening UNRWA’s accountability, transparency, management and governance. Canada will remain engaged on these efforts."
2,Statement by Foreign Affairs Minister on the ongoing Human rights violations in Chechnya ,https://www.canada.ca/en/global-affairs/news/2020/12/statement-by-foreign-affairs-minister-on-the-ongoing-human-rights-violations-in-chechnya.html,12/17/20,2020, statements," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today issued the following statement on continued human rights violations and abuses in Chechnya, particularly against LGBTQ2 individuals:“Two years ago, Canada, alongside 15 other members of the Organization for Security and Cooperation in Europe (OSCE), invoked the OSCE’s Moscow Mechanism to initiate a factfinding mission to address serious human rights violations and abuses in Chechnya.“Despite clear evidence substantiating allegations of harassment and persecution, arbitrary or unlawful arrests or detentions, torture, enforced disappearances and extrajudicial executions of LGBTQ2 people in Chechnya, Russia has taken no meaningful action towards implementing the recommendations in the mission’s report. Meanwhile, new credible information has come to light from human rights organizations about further grave human rights violations and abuses in Chechnya, including an alarming increase in the number of abductions and enforced disappearances.“In the two years since the report was released, the inaction by Russia has further contributed to a climate of impunity for human rights abusers. Canada again urges Russia to conduct an impartial and credible investigation so that those responsible for torture and other abuses are held to account. Canada continues to call on Russia to take heed of the report’s recommendations and to respect the dignity and human rights of all individuals without discrimination. Human rights have no borders. Canada believes human rights are universal and indivisible, and these include the human rights of LGBTQ2 people.”“As a strong, vocal and forceful advocate for universal human rights for all, the Government of Canada is committed to combatting discrimination, violence, and unjust laws targeting the LGBTQ2 community around the world.”Associated links Human rights violations in Chechnya to be investigatedExpert report confirms human rights abuses in ChechnyaJoint statement delivered by Permanent Representative of France to the OSCE Véronique RogerLacan on the Moscow Mechanism invoked by 16 participating states"
3,Minister Ng speaks with Ukrainian minister Petrashko ,https://www.canada.ca/en/global-affairs/news/2020/12/readout-minister-ng-speaks-with-ukrainian-minister-petrashko.html,12/17/20,2020, readouts," Yesterday, the Honourable Mary Ng, Minister of Small Business, Export Promotion and International Trade, spoke with Ihor Petrashko, Ukraine’s Minister for Development of Economy, Trade and Agriculture.The ministers spoke about the importance of bilateral and global cooperation and coordination to build a strong global economic recovery from COVID19.They also discussed the modernization of the CanadaUkraine Free Trade Agreement (CUFTA) and its potential benefits to people across Canada and Ukraine, particularly small businesses and women. Since the CUFTA entered into force in 2017, CanadaUkraine 2way bilateral trade has grown, totalling nearly $300 million in 2019. This has meant new opportunities for Canadian and Ukrainian businesses alike, and good jobs in both countries.Minister Ng highlighted Canada’s leadership on advancing rulesbased international trade through the Ottawa Group on WTO reform. Both ministers look forward to continuing to work closely together to promote rulesbased trade and strong supply chains. This work is essential to ensure people continue to have access to essential goods like food and medicine at this challenging time, as well as to ensure our recovery is sustainable and benefits everyone.Related productsStatement from Minister Ng on joint commitment with WTO members to support small businessesStatement on joint commitment with WTO members to maintain predictable and rulesbased trade at this critical timeAssociated linksCanadaUkraine Free Trade Agreement"
4,Minister Ng announces tabling of Ottawa Group’s Trade and Health Initiative at WTO General Council,https://www.canada.ca/en/global-affairs/news/2020/12/minister-ng-announces-tabling-of-ottawa-groups-trade-and-health-initiative-at-wto-general-council.html,12/17/20,2020, news releases," Now more than ever, Canadians rely on open, transparent, and rulesbased international trade that minimizes disruptions for essential goods—especially medicines and medical supplies.Today, the Honourable Mary Ng, Minister of Small Business, Export Promotion and International Trade, announced that the Canadaled Ottawa Group Trade and Health Initiative was presented to the WTO General Council for discussion, in Canada’s continued response to the global health impact and unprecedented economic challenges caused by the COVID19 pandemic.Through this Trade and Health Initiative, Canada and the other 12 Ottawa Group member nations are calling for further cooperation among all WTO members to strengthen global supply chains and facilitate the flow of essential medicines and medical supplies, including vaccines, amid the current crisis.The Trade and Health Initiative identifies a range of actions that members are encouraged to adopt. These include implementing tradefacilitating measures in the areas of customs and services, limiting export restrictions, temporarily removing or reducing tariffs on essential medical goods, and improving transparency overall.COVID19 knows no borders. Supporting other countries in their fight against COVID19 and other diseases is absolutely essential to protecting Canadians and people around the world.That is why, in addition to putting forth this new Trade and Health Initiative, Canada has contributed a total of $865 million toward the Access to COVID19 Tools Accelerator—a coalition of international organizations and countries overseeing the development, production, and equitable distribution of affordable COVID19 vaccines, therapeutics, and diagnostics.Canada will continue to take a leadership role to promote rulesbased trade and open supply chains, which is more important than ever in the fight against COVID19."
5,"Canada announces additional support for equitable access to COVID-19 tests, treatments and vaccines",https://www.canada.ca/en/global-affairs/news/2020/12/canada-announces-additional-support-for-equitable-access-to-covid-19-tests-treatments-and-vaccines.html,12/14/20,2020, news releases," The COVID19 pandemic continues to have a profound global impact, with its widereaching effects amplified for vulnerable populations both in Canada and around the world. This virus will not be fully eradicated until it’s eradicated everywhere. That is why Canada is committed to a robust global effort to end the pandemic and address its devastating health, social, economic and security impacts. Canada continues to do its part to ensure that everyone, everywhere, has access to COVID19 tests, treatments and vaccines.The Honourable Karina Gould, Minister of International Development, today announced a contribution of $230 million to procure COVID19 treatments for developing countries in response to urgent priorities identified by the Access to COVID19 Tools (ACT) Accelerator, launched by the World Health Organization and partners. This contribution will help to minimize deaths and severe illness from COVID19, as well as alleviate the burden of the pandemic on alreadystretched health systems.Canada’s contribution will enable UNICEF to procure up to 3 million courses of novel COVID19 antibody therapeutics as soon as clinical trials and regulatory approvals have been completed. The initiative builds on the important work done with the COVID19 Therapeutics Accelerator via the Bill & Melinda Gates Foundation to secure manufacturing capacity for novel antibody therapeutics production dedicated to developing countries.Minister Gould also announced that Canada will invest $255 million in additional support for the ACTAccelerator for the effective deployment of medical solutions against COVID19 in developing and vulnerable countries. This will be achieved through focused investments with the World Health Organization, the Pan American Health Organization, the Coalition for Epidemic Preparedness Innovations (CEPI) and Gavi, the Vaccine Alliance, for the development, delivery and distribution of vaccines and therapeutics, including targeted support to Latin America and the Caribbean.Canada’s contribution to Gavi will include an investment in the development of a mechanism to equitably reallocate vaccine doses through the COVAX Facility, either by donation or exchange.Canada’s support could also include support to train frontline healthcare workers to administer COVID19 vaccines and therapeutics, to plan and execute mass vaccination campaigns and to procure supplies essential to the rollout of COVID19 vaccines and treatments, such as syringes or personal protective equipment.Today’s investment of $485 million will reinforce the work of key partners of the ACTAccelerator. It will build on Canada’s commitment to increase global equitable access to COVID19 medical countermeasures by helping to strengthen health systems in developing countries for the effective deployment and use of new vaccines and therapies."
6,"Canada’s investments to support equitable access to COVID-19 tests, treatments and vaccines",https://www.canada.ca/en/global-affairs/news/2020/12/canadas-investments-to-support-equitable-access-to-covid-19-tests-treatments-and-vaccines.html,12/14/20,2020, backgrounders,"Since February 2020, the Government of Canada has announced that it will commit nearly $1.6 billion to the global response to COVID19. This includes more than $865 million in funding for the Access to COVID19 Tools (ACT) Accelerator to support equitable access to COVID19 tests, treatments and vaccines.Canada has been a key supporter of the ACTAccelerator since its inception as it provides a critical platform to mobilize and coordinate the unprecedented global effort needed for the development, production and distribution of safe and effective COVID19 tests, treatments and vaccines. At the core of the ACTAccelerator framework are 3 partnerships (vaccines, therapeutics and diagnostics) with a crosscutting work stream on health systems. Canada joined the ACTAccelerator as a colead on May 4, 2020.To date, Canada has announced a commitment of more than $865 million to support low and middleincome countries to access COVID19 vaccines, tests and treatments through the ACTAccelerator. This includes today’s announcement of $485 million for antibody treatments and in support of the ACTAccelerator’s health systems connector and vaccine pillars. It also includes:a contribution of $220 million, announced on September 25, 2020, to support the procurement of vaccine doses for low and middleincome countries through the Gavi COVAX Advance Market Commitment (AMC)a contribution of $120 million in support of the ACTAccelerator, announced on June 27, 2020a contribution of $40 million to the Coalition of Epidemic Preparedness Innovation announced on April 5, 2020a previous initial contribution of up to $31 million to the Gavi COVAX AMCCanada is currently the secondlargest financial supporter of the Gavi COVAX AMC, which will enable 92 low and middleincome countries to access vaccines with the support of official development assistance financing.By joining the COVAX Facility as a selffinancing country and by contributing to the Gavi COVAX AMC, Canada is supporting collective efforts to develop safe, effective and accessible COVID19 vaccines for 189 participating economies across the world.All countries participating in the COVAX Facility, either as selffinancing or AMCeligible countries, will have access to a portfolio of vaccine candidates. Distribution will be equitable and based on available doses among countries that have selected specific vaccine candidates."
7,Minister Gould and Minister Anand to hold news conference,https://www.canada.ca/en/global-affairs/news/2020/12/minister-gould-and-minister-anand-to-hold-news-conference.html,12/13/20,2020, media advisories," The Honourable Karina Gould, Minister of International Development, and the Honourable Anita Anand, Minister of Public Services and Procurement, invite the media to participate in a news conference on Canada’s global and domestic response to the COVID19 pandemic.
Date: Monday, December 14, 2020  Time: 11 am ET Location: Room 200, Sir John A. Macdonald Building, 144 Wellington Street, Ottawa, Ontario
Notes for media:

Open coverage in person and by teleconference
Media wishing to cover the event must be accredited with the Canadian Parliamentary Press Gallery
Participants can dial in to listen and ask questions via these numbers: 
  
Local: 6139607518
Tollfree: 18668057923
Passcode: 8381726#
 
While speaking on the teleconference line, participants should mute their computer’s speakers to reduce feedback.

Attention:

Those attending in person must wear a face mask or covering.
Individuals must not present any symptoms associated with COVID19 or have been in contact with anyone who has received a positive diagnosis within the previous 14 days."
8,Statement by Minister Ng on Canada’s challenge of U.S. duties on Canadian softwood lumber,https://www.canada.ca/en/global-affairs/news/2020/12/statement-by-minister-ng-on-canadas-challenge-of-us-duties-on-canadian-softwood-lumber.html,12/11/20,2020, statements," The Honourable Mary Ng, Minister of Small Business, Export Promotion and International Trade, today issued the following statement regarding Canada’s request for a panel review under Chapter 10 of the CanadaUnited StatesMexico Agreement regarding U.S. countervailing duties on imports of Canadian softwood lumber:“On November 24, 2020, the U.S. Department of Commerce established, through its first administrative review process, a 7.42% countervailing duty rate for most Canadian producers of softwood lumber. “Canada firmly believes that any duties imposed on Canadian exports of softwood lumber to the United States are unwarranted and unfair.“These duties have caused unjustified harm for Canadian workers and businesses, and are hampering economic recovery on both sides of the border—especially when our people are being affected by the health and economic impacts of COVID19.“Our government will continue to vigorously defend its forestry sector and the thousands of hardworking Canadians it employs.“Canada will consider all of its legal options with respect to U.S. duties on softwood lumber, including the possibility of bringing this challenge to the World Trade Organization for review under its dispute settlement mechanism.”Quick factsMost U.S. imports of Canadian softwood lumber are now subject to new duty rates: a 7.42% countervailing duty rate and a 1.57% antidumping duty rate (8.99% combined); certain companies also received companyspecific rates.The previous combined rate to which most Canadian companies were subject when exporting certain softwood lumber products to the United States was 20.23%.Related productsStatement by Minister Ng about U.S. duties on Canadian softwood lumberAssociated linksFrequently asked questions  Softwood lumber"
9,Minister Ng announces appointments to Export Development Canada and Canadian Commercial Corporation boards of directors,https://www.canada.ca/en/global-affairs/news/2020/12/minister-ng-announces-appointments-to-export-development-canada-and-canadian-commercial-corporation-boards-of-directors.html,12/11/20,2020, news releases," Export Development Canada (EDC) and the Canadian Commercial Corporation (CCC) are a vital part of the Government of Canada’s commitment to helping Canadian businesses of all sizes grow and succeed, including in diversified export markets. This is more important than ever as we work to build a strong economic recovery from COVID19.Today, the Honourable Mary Ng, Minister of Small Business, Export Promotion and International Trade, announced the following appointments for terms of 4 years:EDC board of directors: Manjit Sharma, Chief Financial Officer of WSP Canada Inc.CCC board of directors: Julian Ovens, Senior Advisor with Crestview StrategyThe responsibility of the boards is to supervise the direction and management of the EDC and CCC, oversee their strategic development, and identify opportunities for the organizations to serve Canadian businesses better.The appointments are made based on an open, transparent, and meritbased selection process developed to attract highquality candidates while reflecting gender parity and Canada’s diversity."
